Day,Breakfast,Lunch,Snacks,Dinner
Monday,"1. Poori+ White Channa
2. Millet Mixed Idly + Vada + Sambar + Tomato Pudhina Chutney
3. Bread + Butter + Jam
4. Tea / Coffee","1. Phulka + Dry Veg Kadai Semi Gravy (Weeks 1 & 3) / Aloo Peas (Weeks 2 & 4) + Dal
2. Tomato Rice (Weeks 1 & 3) / Tamarind Rice (Weeks 2 & 4)
3. White Rice + Drumstick Sambhar + Carrot & Beans Mixed Poriyal + Rasam + Curd
4. Parupu Podi + Ghee + Thorvaiyal + Pickle + Papad
5. Fruit","Vada Pav
Tea / Coffee / Milk","1. Phulka + Corn Masala (Weeks 1 & 3) / Corn Capsicum Masala (Weeks 2 & 4) + Jeera Dal
2. White Rice + Dry Cabbage Porial (Weeks 1 & 3) / Bhindi Masala (Weeks 2 & 4)
3. Rasam + Curd + Pickle
4. Chocolate Ice Cream + Salad + Milk"
Tuesday,"1. Paneer Paratha + Tomato Onion Gravy + Curd
2. Rava Idly + Vada + Sambar + Coconut Chutney
3. Brown Bread + Butter + Jam
4. Tea / Coffee","1. Phulka + Rajma Curry (Weeks 1 & 3)
2. Veg Pulao + Boondi Raitha + Dal
3. White Rice + Mochai Kara Kolambu + Avarakkai Poriyal (Weeks 1 & 3) / Pudalangai Poriyal (Weeks 2 & 4) + Rasam
4. Parupu Podi + Gingelly Oil + Thovaiyal + Pickle + Fryums
5. Green Banana","Burger (Weeks 1 & 3) + Sauce /
Veg Puff (Weeks 2 & 4) + Sauce
Tea / Coffee / Milk","1. Chapathi + Soya Chunk Gravy (Weeks 1 & 3) / Mix Veg Kuruma (Weeks 2 & 4)
2. Lemon Rice + Aloo Varuval (Fry)
3. White Rice + Beans Poriyal + Rasam + Curd + Pickle
4. Milk + Salad (Weeks 1 & 3)
5. Bread Halwa (Weeks 1 & 3) / Fruit Custard (Weeks 2 & 4)"
Wednesday,"1. Palak Paratha + Curd (Weeks 1 & 3) / Rava Upma (Weeks 2 & 4)
2. Masala Dosai + Sambar + Groundnut Chutney
3. Bread + Butter + Jam
4. Tea / Coffee","1. Chapathi + Palak Paneer
2. Ghee Rice + Dal
3. White Rice + Raddish Sambar + Keerai Poriyal + Rasam + Curd
4. Parupu Podi + Ghee + Thovaiyal + Pickle + Papad
5. Fruit (Papaya) + Lemon Mint Juice","Veg Samosa + Sweet Chutney (Weeks 1 & 3) /
Sambar Vada (Week 2 & 4)
Tea / Coffee / Milk","1. White Channa Masala + Atta Poori (weeks 1 & 3) / Bhatura (Weeks 2 & 4)
2. White Rice + More Kulambu + Mixed Vegetable Porial + Rasam + Pickle
3. Veg Salad + Strawberry Milk"
Thursday,"1. Aloo Stuffed Paratha + Curd + Pickle
2. Andra Bonda + Idly + Chettinad Kaara Chutney
3. Brown Bread + Butter + Jam
4. Tea / Coffee","1. Phulka + Paneer Tikka Masala
2. Bisebella Bath + Potato Chips
3. White Rice + Pasi Paruppu Beans Poriyal (Weeks 1 & 3) / Kaaramani poriyal + Rasam + Curd
4. Parupu Podi + Gingelly Oil + Thovaiyal + Pickle
5. Fruit Salad (Green Grapes + Papaya)","Sandwich + Sauce (Weeks 1 & 3) /
Pasta (Weeks 2 & 4)
Tea / Coffee / Milk","1. Chapathi + Veg. Kadai Gravy (Weeks 1 & 3) / Dry Aloo Jeera (Weeks 2 & 4)
2. Lemon Seva (Weeks 1 & 3) / Tomato seva (Weeks 2 & 4) + Ahrar Dal Tadka (Weeks 1 & 3) / Sambar (Weeks 2 & 4) + Coconut Chutney
3. White Rice +  Bhindi Masala Gravy (Weeks 1 & 3) / Dry Bhindi Masala (Weeks 2 & 4) + Rasam + Curd
4. Cold Badam Milk (Weeks 1 & 3) / Chocolate Milkshake (Weeks 2 & 4) + Salad"
Friday,"1. Onion Aloo Veg Paratha + Tomato Chutney + Curd
2. Dosa (Podi Karam) + Sambar + Peanut Onion Chutney
3. Toasted Bread + Butter + Jam
4. Tea / Coffee","1. Pulka + Malai Kofta Gravy + Dal
2. Kashmiri Pulav
3. White Rice + Brinjal Sambar + Potato, Pattani Masiyal + Rasam + Mint Buttermilk
4. Parupu Podi + Ghee + Thovaiyal + Onions + Pickle + Papad
5. Fruits (Watermelon)","Salted Peanuts (Weeks 1 & 3) /
Sweetcorn (Weeks 2 & 4)
Tea / Coffee / Milk","1. Oil Chapathi + Black Channa Masala
2. Idly + Chutney + Sambar
3. White Rice + Gobi 65 + Rasam + Curd + Pickle
4. Salad + Jalebi (Weeks 1 & 3) / Mothichur Ladoo (Weeks 2 & 4)"
Saturday,"1. Onion Dosa + Sambar + Mint, Coriander & Curry Leaves Chutney
2. Onion Potato Poha (Weeks 1 & 3) / Veg Kitchadi (Weeks 2 & 4)
3. Bread + Butter + Jam
4. Tea / Coffee","1. Phulka + Dal Tadka
2. Schezvan Fried Rice + Dry Gobi Manchurian (Weeks 1 & 3) / Veg Manchurian (Weeks 2 & 4)
3. White Rice + Ladies Finger Samber + Keerai Porial / Kootu + Rasam + Curd
4. Parupu Podi + Gingelly Oil + Thovaiyal + Fryams+ Pickle
5. Fruit (Banana) + Lemon Mint Juice","Banana Bhaji + Coconu Chutney (Weeks 1 & 3) /
Papdi Chat (Weeks 2 & 4)
Tea / Coffee / Milk","1. Phulka + Aloo Peas Masala
2. Jeera Rice + Dal Fry
3. Plain Rice Kadai Pakoda Curry + Rasam + Masala Curd
4. Papad + Pickle + Salad + Milk"
Sunday,"1. Pav Bhaji + Masala
2. Millet Pongal (Weeks 1 & 3) / Millet mixed Pongal (Weeks 2 & 4) + Vada + Sambar + Coconut Chutney
3. Brown Bread + Butter + Jam
4. Tea / Coffee","1. Chappati + Paneer Butter Masala
2. Dum Veg Biryani (Soya in Weeks 1 & 3 / More Veggies in Weeks 2 & 4)+ Gobi & Aloo Mixed Fry + Onion Raitha + Curd Rice
3. White Rice (Weeks 1 & 3) + Rasam (Weeks 1 & 3) + Pickle
4. Mixed Fruits (Watermelon & Grapes) + Lemon Mint Juice","Veg Cutlet + Sauce (Weeks 1 & 3) /
Black Channa Chat (Weeks 2 & 4)
Tea / Coffee / Milk","1. Pulka + Dal Makhani
2. Masala Dosa + Chutney + Sambar
3. White Rice + Capsicum Fry + Rasam
4. Gulab Jamun + Salad + Mint Butter Milk"
