Day,Breakfast,Lunch,Snacks,Dinner
Monday,"FRENCH TOAST, ALOO PARANTHA, DAHI, PICKLE, SEMIYA KHICHDI,  TMC, BBJ","RAJMA, TOMATO RICE, PICKLE, WHITE RICE, RASAM, PHULKA, MASALA BUTTERMIK, MOONG DAL , GOBHI 65, RAVA KESARI","SAMOSA, MINT CHUTNEY, TAMARIND CHUTNEY, TMC"," EGG FRIED RICE, MIX VEG MACHURIAN, WHITE RICE, RASAM, CHOCOLATE MILK, COFFEE, SUGAR, WATERMELON "
Tuesday,"OMLETTE, IDLI ,VADA, SAMBAR, COCONUT CHUTNEY, VEGETABLE MASALA POHA, TOASTED BREAD, SLICED CUCUMBER, ONION ,TOMATO, TMC, BBJ","PANNER BHURJI, BISBELLA BATH, POTATO CHIPS ,CURD ,  PHULKA , DAL, WHITE RICE , SUGAR, CUCUMBER, PAPAD, SUGAR  ONION CARROT, SALT, PICKLE, PAYASAM, GHEE","VEG PUFF, TOMATO KETCHUP, TMC","CRISPY THIN MASALA DOSA, SAMBAR, COCONUT CHUTNEY, PHULKA, ALOO CAPSICUM GRAVY, TOMATO THAKKU, WHITE RICE, RASAM,MILK, SUGAR, COFFEE, BANANA, PODI"
Wednesday,"FFRENCH TOAST,POORI, ALOO SABZI, MIX VEG UTTHAPAM, COCONUT CHUTNEY, SAMBAR, TMC,BBJ","CHICKEN PEPPER FRY (BOTH MESS), GHEE RICE WITH FRIED ONION AND FRIED CASHEW, PHULKA, DRY BHINDI, DAL MAKHNI, WHITE RICE, RASAM, ONION, LEMON, BUTTERMILK, PICKLE, GHEE PHULKA","DAHI POORI, CHOPPED ONIONS, TAMARIND CHUTNEY, MINT CHUTNEY, MASALA DAHI, SEV, TMC"," CHOLE BHATURE, BOONDI RAITA, GULAB JAMUN, WHITE RICE, RASAM, PINEAPPLE, MILK,CURD, COFFEE, SUGAR"
Thursday,"BOILED EGG, ALOO PARATHA, DAHI,PICKLE, PONGAL, SAMBAR, KADALA CURRY, TMC,BBJ","CHILLY GOBI (SEMI DRY), WHITE RICE, MINT RICE, CURD, DRUMSTICK KARAKUEZHAMBU, PHULKA, FRYUMS, CABBAGE PORIYAL,CHANA  TADKA, SUGAR, SALT, LEMON, ONION, CUCUMBER, CARROT, SOOJI KA HALWA  ","DRY CAKE, TMC","IDLI, SAMBAR, COCONUT CHUTNEY, KOFTA CURRY, PHULKA,  WHITE RICE, RASAM, MILK, CURD,SUGAR, COFFEE, BANANA "
Friday,"OMLETTE, CRISPY THIN DOSA,VADACURRY,  SAMBAR, COCONUT CHUTNEY, SABUDANA KHICHDI, TMC, BBJ","DUM  ALOO CURRY, PHULKA, TOMATO RICE, DAL TADKA, RASAM, MASALA BUTTERMILK, PICKLE, ONION CUCUMBER ,PICKLE, PAPAD, ","BREAD PAKORA, MINT CHUTNEY, TAMARID CHUTNEY, TMC","MURGH LABABDAAR , BUTTER PHULKA, WHITE RICE, RASAM,LEMON, CHOCOLATE/ STAWBERRY ICE CREAM, MILK, SUGAR, COFFEE"
Saturday," PAV BHAJI, CHOPPED ONIONS, VEGETABLE UPMA, COCONUT CHUTNEY, SAMBAR, TMC,BBJ ","MIX VEG DRY PORIYAL, KADHAI PANNER, PHULKA, JEERA RICE, GREEN DAL, RASAM, RADISH SAMBAR, CURD, SUGAR, ONION, CUCUMBER ","PANI POORI, TMC","PODI IDLI,MINT CHUTNEY,COCONUT CHUTNEY, EGG ROAST SEMI DRY,SAMBAR, PHULKA, WHITE RICE, RASAM, GHEE, MILK, COFFEE"
Sunday,"GOBHI PARATHA, DAHI, PICKLE, IDLI, VADA, SAMBAR, COCONUT CHUTNEY , TMC,BBJ ","HYDERABADI CHICKEN BIRYANI, BOILED EGG, MIRCHI KA SALAN, LEMON JUICE, ONION, CUCUMBER RAITA, CUCUMBER, TOMATO , CURD RICE","MACRONI, TOMATO KETCHUP, TMC","ONION UTTHAPAM, SAMBAR, COCONUT CHUTNEY, WHITE RICE, RASAM, PAPAYA, CHOCOLATE MILK, SUGAR, COFFEE"
