Date,RoomNumber
1,
2,101 - 409
3,410 - 740
4,
5,741 - 1022
6,1023 - 1212
7,1213 - 1324
8,1325 - 1435
9,1436 - 1607
10,1608 - 1721
11,
12,101 - 409
13,410 - 740
14,741 - 1022
15,1023 - 1212
16,1213 - 1324
17,1325 - 1435
18,
19,1436 - 1607
20,1608 - 1721
21,101 - 409
22,410 - 740
23,741 - 1022
24,1023 - 1212
25,
26,1213 - 1324
27,1325 - 1435
28,1436 - 1607
29,1608 - 1721
30,
31,
