Date,RoomNumber
1,
2,101 - 308
3,309 - 436
4,
5,437 - 610
6,611 - 740
7,741 - 927
8,930 - 1113
9,1114 - 1315
10,1316 - 1550
11,
12,101 - 308
13,309 - 436
14,437 - 610
15,611 - 740
16,741 - 927
17,930 - 1113
18,
19,1114 - 1315
20,1316 - 1550
21,101 - 308
22,309 - 436
23,437 - 610
24,611 - 740
25,
26,741 - 927
27,930 - 1113
28,1114 - 1315
29,1316 - 1550
30,
31,
