Date,RoomNumber
1,
2,101 - 226
3,228 - 410
4,
5,412 - 601
6,603 - 730
7,731 - 920
8,921 - 1114
9,1115 - 1305
10,1306 - 1504
11,
12,1505 - 1634
13,101 - 226
14,228 - 410
15,412 - 601
16,603 - 730
17,731 - 920
18,
19,921 - 1114
20,1115 - 1305
21,1306 - 1504
22,1505 - 1634
23,101 - 226
24,228 - 410
25,
26,412 - 601
27,603 - 730
28,731 - 920
29,921 - 1114
30,1115 - 1305
31,1306 - 1634
