Date,RoomNumber
1,
2,113 - 325
3,326 - 435
4,
5,436 - 624
6,625 - 737
7,738 - 925
8,926 - OTHER
9,113 - 325
10,326 - 435
11,
12,436 - 624
13,625 - 737
14,738 - 925
15,926 - OTHER
16,113 - 325
17,326 - 435
18,
19,436 - 624
20,625 - 737
21,738 - 925
22,926 - OTHER
23,113 - 325
24,326 - 435
25,
26,436 - 624
27,625 - 737
28,738 - 925
29,926 - OTHER
30,
31,
