Date,RoomNumber
1,
2,101 - 224
3,225 - 409
4,
5,410 - 603
6,604 - 729
7,730 - 926
8,929 - 1219
9,1220 - 1427
10,1428 - 1635
11,
12,101 - 224
13,225 - 409
14,410 - 603
15,604 - 729
16,730 - 926
17,929 - 1219
18,
19,1220 - 1427
20,1428 - 1635
21,101 - 224
22,225 - 409
23,410 - 603
24,604 - 729
25,
26,730 - 926
27,929 - 1219
28,1220 - 1427
29,1428 - 1635
30,
31,
