Date,RoomNumber
1,
2,101 - 323
3,324 - 518
4,
5,519 - 713
6,714 - 919
7,920 - 1131
8,1132 - 1551
9,101 - 323
10,324 - 518
11,
12,519 - 713
13,714 - 919
14,920 - 1131
15,1132 - 1551
16,101 - 323
17,324 - 518
18,
19,519 - 713
20,714 - 919
21,920 - 1131
22,1132 - 1551
23,101 - 323
24,324 - 518
25,
26,519 - 713
27,714 - 919
28,920 - 1131
29,1132 - 1551
30,
31,
